温度/℃,密度/(kg/m^2),粘度/(mPa*s)
0,999.84,1.787
1,999.90,1.728
2,999.94,1.671
3,999.96,1.618
4,999.97,1.567
5,999.96,1.519
6,999.94,1.472
7,999.90,1.428
8,999.85,1.386
9,999.78,1.346
10,999.70,1.307
11,999.61,1.271
12,999.49,1.235
13,999.38,1.202
14,999.24,1.169
15,999.10,1.139
16,998.94,1.109
17,998.77,1.081
18,998.60,1.053
19,998.41,1.027
20,998.20,1.002
21,997.99,0.978
22,997.77,0.955
23,997.54,0.933
24,997.30,0.911
25,997.04,0.890
26,996.78,0.871
27,996.51,0.851
28,996.23,0.833
29,995.94,0.815
30,995.65,0.798
31,995.34,0.781
32,995.03,0.765
33,994.70,0.749
34,994.37,0.734
35,994.03,0.719
36,993.68,0.705
37,993.33,0.692
38,992.97,0.673
39,992.59,0.665
40,992.22,0.653
41,991.83,0.641
42,991.44,0.629
43,991.04,0.618
44,990.63,0.607
45,990.21,0.596
46,989.79,0.586
47,989.36,0.576
48,988.93,0.566
49,988.49,0.556
50,988.04,0.547
51,987.58,0.538
52,987.12,0.529
53,986.65,0.520
54,986.18,0.512
55,985.70,0.504
56,985.21,0.496
57,984.71,0.488
58,984.22,0.481
59,983.71,0.474
60,983.20,0.467
61,982.68,0.460
62,982.16,0.453
63,981.63,0.446
64,981.10,0.440
65,980.55,0.434
66,980.01,0.427
67,979.46,0.421
68,978.90,0.416
69,978.34,0.410
70,977.77,0.404
71,977.20,0.399
72,976.62,0.393
73,976.03,0.388
74,975.44,0.383
75,974.85,0.378
76,974.25,0.373
77,973.64,0.368
78,973.03,0.364
79,972.42,0.359
80,971.80,0.355
81,971.17,0.350
82,970.54,0.346
83,969.91,0.342
84,969.27,0.338
85,968.62,0.334
86,967.97,0.330
87,967.31,0.326
88,966.65,0.322
89,966.00,0.318
90,965.32,0.315
91,964.65,0.311
92,963.97,0.308
93,963.28,0.304
94,962.59,0.301
95,961.90,0.298
96,961.20,0.294
97,960.50,0.291
98,959.79,0.288
99,959.06,0.285
100,958.36,0.282
